央卫HUB,#genre#
CCTV1-综合,http://157.0.89.207:9003/hls/1/index.m3u8
CCTV1-综合,http://116.147.109.239:9003/hls/1/index.m3u8
CCTV1-综合,http://183.188.22.239:6000/rtp/226.0.2.153:9136
CCTV1-综合,http://183.188.22.239:6000/rtp/226.0.2.16:8040
CCTV1-综合,http://183.188.22.239:6000/rtp/226.0.2.18:8056
CCTV1-综合,http://1.30.247.80:8686/udp/239.125.2.66:4120
CCTV1-综合,http://1.30.247.80:8686/udp/239.125.1.177:4130
CCTV1-综合,http://112.195.88.126:5000/rtp/239.0.0.10:5140
CCTV1-综合,http://39.80.175.0:85/tsfile/live/2001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1-综合,http://123.129.70.178:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1-综合,http://10.8.8.200/hls/180/index.m3u8
CCTV1-综合,http://113.201.61.98:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1-综合,http://183.186.68.206:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1-综合,http://119.49.182.4:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1-综合,http://60.223.72.98:8003/rtp/226.0.2.153:9136
CCTV1-综合,http://60.223.72.98:8003/rtp/226.0.2.16:8040
CCTV1-综合,http://60.223.72.98:8003/rtp/226.0.2.18:8056
CCTV1-综合,http://123.139.57.170:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1-综合,http://home.yulei.online:9999/rtp/226.0.2.153:9136
CCTV1-综合,http://home.yulei.online:9999/rtp/226.0.2.16:8040
CCTV1-综合,http://home.yulei.online:9999/rtp/226.0.2.18:8056
CCTV1-综合,http://iptv.zhangliang.cc:8012/udp/225.0.4.74:7980
CCTV1-综合,http://iptv.zhangliang.cc:8012/udp/225.0.4.1:7980
CCTV1-综合,http://27.15.245.77:10000/udp/225.0.4.74:7980
CCTV1-综合,http://27.15.245.77:10000/udp/225.0.4.1:7980
CCTV1-综合,http://123.12.186.252:85/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1-综合,http://116.179.125.231:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1-综合,http://116.179.93.169:8082/rtp/226.0.2.153:9136
CCTV1-综合,http://116.179.93.169:8082/rtp/226.0.2.16:8040
CCTV1-综合,http://116.179.93.169:8082/rtp/226.0.2.18:8056
CCTV1-综合,http://101.204.85.200:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1-综合,http://182.122.120.175:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1-综合,http://139.208.232.162:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1-综合,http://60.223.72.185:8002/rtp/226.0.2.153:9136
CCTV1-综合,http://60.223.72.185:8002/rtp/226.0.2.16:8040
CCTV1-综合,http://60.223.72.185:8002/rtp/226.0.2.18:8056
CCTV1-综合,http://27.11.57.209:8002/udp/225.0.4.74:7980
CCTV1-综合,http://27.11.57.209:8002/udp/225.0.4.1:7980
CCTV1-综合,http://183.184.47.157:8001/rtp/226.0.2.153:9136
CCTV1-综合,http://183.184.47.157:8001/rtp/226.0.2.16:8040
CCTV1-综合,http://183.184.47.157:8001/rtp/226.0.2.18:8056
CCTV1-综合,http://60.26.12.157:85/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1-综合,http://125.43.241.91:85/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1-综合,http://27.8.236.98:8001/udp/225.0.4.74:7980
CCTV1-综合,http://27.8.236.98:8001/udp/225.0.4.1:7980
CCTV1-综合,http://183.184.6.224:8001/rtp/226.0.2.153:9136
CCTV1-综合,http://183.184.6.224:8001/rtp/226.0.2.16:8040
CCTV1-综合,http://183.184.6.224:8001/rtp/226.0.2.18:8056
CCTV1-综合,http://116.138.241.240:9006/rtp/232.0.0.27:1234
CCTV1-综合,http://121.19.134.146:808/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1-综合,http://139.227.221.241:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1-综合,http://27.9.189.66:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1-综合,http://112.226.228.106:22222/udp/239.253.254.77:8000
CCTV1-综合,http://27.11.48.253:8002/udp/225.0.4.74:7980
CCTV1-综合,http://27.11.48.253:8002/udp/225.0.4.1:7980
CCTV1-综合,http://171.127.237.211:8084/rtp/226.0.2.153:9136
CCTV1-综合,http://171.127.237.211:8084/rtp/226.0.2.16:8040
CCTV1-综合,http://171.127.237.211:8084/rtp/226.0.2.18:8056
CCTV1-综合,http://27.10.214.7:8002/udp/225.0.4.74:7980
CCTV1-综合,http://27.10.214.7:8002/udp/225.0.4.1:7980
CCTV1-综合,http://27.12.234.98:8001/udp/225.0.4.74:7980
CCTV1-综合,http://27.12.234.98:8001/udp/225.0.4.1:7980
CCTV1-综合,http://183.191.50.247:9003/hls/1/index.m3u8
CCTV1-综合,http://171.116.254.184:9003/hls/1/index.m3u8
CCTV1-综合,http://60.8.75.178:9002/hls/1/index.m3u8
CCTV1-综合,http://116.117.106.71:4022/udp/239.125.2.66:4120
CCTV1-综合,http://116.117.106.71:4022/udp/239.125.1.177:4130
CCTV1-综合,http://112.226.107.85:4000/udp/239.253.254.77:8000
CCTV1-综合,http://124.165.251.82:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1-综合,http://60.26.16.53:85/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1-综合,http://27.12.12.227:9998/udp/225.0.4.74:7980
CCTV1-综合,http://27.12.12.227:9998/udp/225.0.4.1:7980
CCTV1-综合,http://183.188.22.54:6000/rtp/226.0.2.153:9136
CCTV1-综合,http://183.188.22.54:6000/rtp/226.0.2.16:8040
CCTV1-综合,http://183.188.22.54:6000/rtp/226.0.2.18:8056
CCTV1-综合,http://27.8.236.24:8008/udp/225.0.4.74:7980
CCTV1-综合,http://27.8.236.24:8008/udp/225.0.4.1:7980
CCTV1-综合,http://123.118.171.46:6688/rtp/239.3.1.129:8008
CCTV1-综合,http://118.79.19.202:6000/rtp/226.0.2.153:9136
CCTV1-综合,http://118.79.19.202:6000/rtp/226.0.2.16:8040
CCTV1-综合,http://118.79.19.202:6000/rtp/226.0.2.18:8056
CCTV1-综合,http://111.167.32.120:5002/udp/225.1.1.120:5002
CCTV1-综合,http://121.29.215.146:2083/rtp/239.253.92.83:8012
CCTV1-综合,http://121.19.134.216:808/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2-财经,http://123.14.82.237:9003/hls/2/index.m3u8
CCTV2-财经,http://157.0.89.207:9003/hls/2/index.m3u8
CCTV2-财经,http://116.147.109.239:9003/hls/2/index.m3u8
CCTV2-财经,http://183.188.22.239:6000/rtp/226.0.2.154:9144
CCTV2-财经,http://183.188.22.239:6000/rtp/226.0.2.19:8064
CCTV2-财经,http://1.30.247.80:8686/udp/239.125.2.65:4120
CCTV2-财经,http://1.30.247.80:8686/udp/239.125.1.118:4130
